epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.4052073573439703,0.9094920239846136,0.26219308053453766,0.9116666666666666
1,0.13179790886673862,0.9576875212128069,0.22390096212426822,0.9383333333333334
2,0.0918084616436821,0.9683787758796244,0.15786934634670616,0.9433333333333334
3,0.06861855433597387,0.9768073311460572,0.21703645256347953,0.935
4,0.05728250699096075,0.98082362258174,0.21734418072737755,0.9416666666666667
5,0.04830529325953467,0.9839348342572689,0.22861776687204838,0.93
6,0.0332986070378428,0.9887996379680959,0.25886379728714626,0.9266666666666666
7,0.029018170326199653,0.9903835275483652,0.2687280459639927,0.9216666666666666
8,0.022344968453115406,0.9923633895237017,0.2563025567059716,0.9183333333333333
9,0.028649872537149786,0.990553230003394,0.27772372340938695,0.9316666666666666
10,0.030213826002222468,0.9900441226383075,0.23662343400840957,0.935
11,0.020977451426432966,0.9920805520986536,0.30449407854272675,0.9316666666666666
12,0.014378302180719182,0.9948523588641249,0.2760911528641979,0.9283333333333333
13,0.016728875470810887,0.9948523588641249,0.2667271953454474,0.9366666666666666
14,0.012109944693427455,0.9957008711392692,0.33815499593814213,0.9283333333333333
15,0.01132051432687795,0.9960968435343365,0.3200347678755255,0.925
16,0.012180360605398014,0.9955311686842403,0.27768745362603414,0.9366666666666666
17,0.012458369222578734,0.9953048987442018,0.3884643886859218,0.9233333333333333
18,0.016473806523819617,0.9942866840140288,0.2878671385503064,0.94
19,0.009725323944648222,0.9964362484443942,0.2716649339398524,0.9366666666666666
20,0.01274513965302019,0.9948523588641249,0.34160607384789426,0.94
21,0.012177974839630209,0.9954180337142211,0.3305607412864144,0.94
22,0.00839230502277268,0.996323113474375,0.3023887678049505,0.9433333333333334
23,0.007862107381142448,0.9967190858694422,0.34094942664184297,0.9433333333333334
24,0.01011774080294275,0.9958140061092884,0.27873699452417594,0.9466666666666667
