epoch,train_loss,train_acc,valid_loss,valid_acc
0,1.1184924096324242,0.7346984953048987,0.7250225067138671,0.7966666666666666
1,0.7951783938892881,0.8201719651544292,0.5608296453952789,0.8216666666666667
2,0.6222509293079322,0.8528679714899876,0.4590386857589086,0.8483333333333334
3,0.5047264143357599,0.8782667722593054,0.3770412455002467,0.865
4,0.44624421605698084,0.8908247539314402,0.3642919103304545,0.8566666666666667
5,0.38396441007256576,0.9076818644643059,0.3191608786582947,0.885
6,0.3616391038285053,0.9105102387147868,0.31099790583054227,0.8816666666666667
7,0.32896718377103523,0.9183731191311234,0.29151592006285987,0.8933333333333333
8,0.3034508903313309,0.9268582418825659,0.2689194326599439,0.9033333333333333
9,0.29137119410439627,0.9286684014028737,0.2586664269367854,0.8983333333333333
10,0.2664559872215967,0.9333635026586719,0.2590533420443535,0.9016666666666666
11,0.2537890563643428,0.9377757664894218,0.2598223239183426,0.9016666666666666
12,0.2459966323739574,0.938341441339518,0.25897179593642555,0.9033333333333333
13,0.2253826154965542,0.9450164045706528,0.22552449901898702,0.9066666666666666
14,0.22758956438465508,0.9434325149903835,0.209767010435462,0.9116666666666666
15,0.21862242206179228,0.9466002941509221,0.23009391178687413,0.9066666666666666
16,0.2092427332310375,0.9472791039710374,0.2469622775912285,0.91
17,0.19302821106090173,0.9512953954067203,0.2293530153731505,0.9116666666666666
18,0.1898410939053586,0.9542934721122299,0.21707536205649375,0.9166666666666666
19,0.1805425801419041,0.9563299015725761,0.23384555180867514,0.9133333333333333
20,0.16925056315288378,0.958988573368028,0.23392670055230458,0.91
21,0.1562726793515492,0.9632877022287589,0.21683220093448957,0.91
22,0.16436285248155008,0.9622129200135762,0.18691090705494087,0.92
23,0.15681826822195863,0.9623826224686051,0.2003863461315632,0.925
24,0.15044007846262272,0.964305916958932,0.20103753209114075,0.9166666666666666
