epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2673185399232683,0.9046272202737866,0.19903152926514547,0.93
1,0.11751834568007559,0.9596673831881435,0.1802384166667859,0.9416666666666667
2,0.08068311983865505,0.9723950673153071,0.1723705190544327,0.9433333333333334
3,0.06203069148954189,0.9796357053965381,0.18361608587826292,0.9316666666666666
4,0.05144287061145577,0.9832560244371535,0.19541005063802003,0.93
5,0.03813941607915353,0.9888562054531056,0.22720022078913946,0.9233333333333333
6,0.033223770498249115,0.9893087453331825,0.2168959876211981,0.9366666666666666
7,0.026270868098324296,0.9915714447335672,0.3305436741017426,0.93
8,0.019913477169610883,0.9937210091639326,0.29080687925840415,0.9383333333333334
9,0.0186916940730385,0.9933816042538749,0.22989548108695695,0.9516666666666667
10,0.017467592617777434,0.994682656409096,0.2292016660173734,0.9416666666666667
11,0.013960163126162554,0.9968322208394614,0.35924916425719855,0.9233333333333333
12,0.012947519598967061,0.996323113474375,0.2567336947967609,0.945
13,0.012479650679180136,0.9959271410793076,0.2794119941458727,0.9333333333333333
14,0.013152423130601543,0.9959271410793076,0.28994862696466345,0.9366666666666666
15,0.014073883785633555,0.9954746011992307,0.3161939832692345,0.9333333333333333
16,0.008479710756246059,0.9972847607195384,0.3426172559460004,0.9316666666666666
17,0.005493111080450119,0.9983029754497115,0.3492534688363473,0.9333333333333333
18,0.010035548713999145,0.9966625183844326,0.242301346907819,0.9416666666666667
19,0.00861857248856245,0.997341328204548,0.2992319266559207,0.94
20,0.009766773172242076,0.9967756533544518,0.355571303559312,0.9366666666666666
21,0.006375433286795634,0.9983029754497115,0.35734820771031084,0.94
22,0.006667706500685123,0.9981332729946827,0.35978089111546674,0.9383333333333334
23,0.007031559697002406,0.9980201380246634,0.3526985491005083,0.9316666666666666
24,0.009593236895665524,0.9972281932345288,0.33157830047421155,0.94
