epoch,train_loss,train_acc,valid_loss,valid_acc
0,6.829307046569382,0.005600181015952031,5.931448745727539,0.043333333333333335
1,5.343116662609913,0.16325376173775313,4.145400524139404,0.42833333333333334
2,3.6574415028776324,0.5135196289172983,2.5559904177983603,0.69
3,2.36733461615861,0.7126937436361579,1.5526992619037627,0.78
4,1.6174204999308928,0.7799524833125919,1.1927597641944885,0.815
5,1.1778426710358167,0.8136667043783233,0.9147028227647146,0.8183333333333334
6,0.9181780961152183,0.8295621676660255,0.821709915002187,0.8116666666666666
7,0.7562612296870316,0.8449485235886413,0.6951599434018135,0.8266666666666667
8,0.6200282515167502,0.8588641249010069,0.6171959698200226,0.83
9,0.5415369412426712,0.8684240298676321,0.5278481796383858,0.8533333333333334
10,0.4681633084402161,0.8767960176490553,0.49505000511805214,0.845
11,0.4275015296676011,0.8823396311799977,0.46716162165006003,0.86
12,0.41367612813363075,0.8821699287249689,0.47280232757329943,0.855
13,0.372900858098315,0.8912772938115171,0.39145698534945644,0.8766666666666667
14,0.3543845749249325,0.8946713429120942,0.41041924208402636,0.8683333333333333
15,0.3421793358063506,0.8974431496775653,0.36307500551144284,0.8833333333333333
16,0.3199261314277668,0.9003280914130558,0.3551008308927218,0.89
17,0.291283681862594,0.9055888675189501,0.32940403148531916,0.8933333333333333
18,0.294143235647027,0.9037787079986423,0.3427971704552571,0.885
19,0.27626469400905757,0.9085303767394501,0.31977906450629234,0.8916666666666667
20,0.2523371515223877,0.915771014820681,0.31065348237752916,0.8983333333333333
21,0.25528167542700236,0.9143002602104311,0.28776562251150606,0.9
22,0.24972605099032294,0.915035637515556,0.2810677939405044,0.9
23,0.2433282442796364,0.9167326620658446,0.27662273067981,0.9
24,0.23715812410551954,0.9187690915261908,0.2738079624871413,0.9016666666666666
