epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.47289627304254095,0.8785496096843535,0.2459362073491017,0.9183333333333333
1,0.1843073255862838,0.9557076592374703,0.24858314829568068,0.9166666666666666
2,0.12786326932076322,0.9700192329449032,0.18951510122666756,0.93
3,0.09486563144615635,0.9777689783912207,0.20077609162156781,0.9333333333333333
4,0.07091990149082514,0.9839914017422785,0.22139871083199977,0.9333333333333333
5,0.059511463209988374,0.9859712637176151,0.2157520438544452,0.9316666666666666
6,0.04810761678607765,0.9901006901233171,0.23080730643123387,0.9266666666666666
7,0.04225620886432948,0.9907229324584229,0.24945452312628427,0.9333333333333333
8,0.033223716152484414,0.9930421993438172,0.26058656349778175,0.9333333333333333
9,0.024445719753964913,0.9942866840140288,0.31463843397796154,0.925
10,0.02261707950648945,0.995135196289173,0.3290991828776896,0.9183333333333333
11,0.020210874597031494,0.9951917637741826,0.3824857274691264,0.92
12,0.015932071429398828,0.9960402760493269,0.38464889622603854,0.92
13,0.020907054005045538,0.9948523588641249,0.35461906070510546,0.9183333333333333
14,0.016584460966249322,0.9960402760493269,0.342911175188298,0.9233333333333333
15,0.013257721552376847,0.9968322208394614,0.40522895311005414,0.9166666666666666
16,0.011588040011199974,0.9976241656295961,0.4326590208336711,0.8966666666666666
17,0.012891541286619783,0.9973978956895576,0.33626410766349485,0.9233333333333333
18,0.01007699770019485,0.9976807331146057,0.41137856871355327,0.9216666666666666
19,0.01434215081138961,0.996605950899423,0.4455554118379951,0.9116666666666666
20,0.011731399336278406,0.9969453558094807,0.3760977841448039,0.9266666666666666
21,0.00934701653027559,0.9972847607195384,0.37490507575372856,0.9283333333333333
22,0.005900670022052867,0.9983029754497115,0.43557886709459126,0.92
23,0.018343357729968618,0.9952483312591922,0.3746693591509635,0.92
24,0.009930306282893308,0.9972847607195384,0.4277079524472356,0.9233333333333333
