epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.4285606781286491,0.8886751895010748,0.30375487059354783,0.8766666666666667
1,0.29229301210846453,0.9243692725421427,0.32165730427174516,0.865
2,0.2266005190290171,0.9430365425953162,0.23928839912017186,0.9116666666666666
3,0.20644460681978444,0.9460911867858355,0.20541106921155006,0.9333333333333333
4,0.1818060926964062,0.9528227175019799,0.2538012309620778,0.91
5,0.2077820737318211,0.9475053739110759,0.371343994140625,0.8916666666666667
6,0.15653645948784317,0.9596673831881435,0.19215147748279074,0.9333333333333333
7,0.1563014012782171,0.9580269261228646,0.42066458563009895,0.8933333333333333
8,0.17997534926093559,0.9527095825319606,0.1821734680328518,0.9283333333333333
9,0.12822581166453134,0.9683222083946148,0.2881050434429199,0.925
10,0.14384575334491065,0.9634008371987781,0.22463424803378682,0.9183333333333333
11,0.11387284112530928,0.9719425274352302,0.2866291204156975,0.915
12,0.10017516081055873,0.9753365765358072,0.23406631723046303,0.9283333333333333
13,0.12220242434999012,0.968887883244711,0.2769104743997256,0.9183333333333333
14,0.1268978800442538,0.9669080212693744,0.40855155674895893,0.8983333333333333
15,0.09151338921934248,0.9763547912659803,0.20272470383594435,0.9216666666666666
16,0.0834231439814621,0.97935286797149,0.22523322066263063,0.9316666666666666
17,0.07599743965747462,0.9796922728815477,0.35176463044869405,0.9266666666666666
18,0.0685408857888864,0.9832560244371535,0.30416224072687326,0.92
19,0.10157284438791304,0.9736961194705284,0.2585879737379097,0.93
20,0.06268957535316277,0.9845570765923747,0.35515968546581766,0.9216666666666666
21,0.06006661982709966,0.9845005091073651,0.3748639442026615,0.9016666666666666
22,0.06233179595880695,0.9841611041973074,0.4750525541603565,0.885
23,0.058572221756304284,0.9850661839574613,0.2683702741152956,0.9283333333333333
24,0.06007584828663407,0.9844439416223555,0.21923269266590067,0.9416666666666667
